Year,Rank,Title,Website,Employees,Sector,Industry,Hqlocation,Hqaddr,Hqcity,Hqstate,Hqzip,Hqtel,Ceo,Ceo-title,Address,Ticker,Fullname,Revenues,Profits,Assets
2017,247,Core-Mark Holding,http://www.core-mark.com,7688,Wholesalers,Wholesalers: Food and Grocery,"South San Francisco, CA",395 Oyster Point Blvd.,South San Francisco,CA,94080,650-589-9445,Thomas B. Perkins,"President, Chief Executive Officer & Director","395 Oyster Point Blvd., South San Francisco, CA 94080",CORE,"Core-Mark Holding Company, Inc.",11507,54.2,1497
2015,352,Core-Mark Holding,http://www.core-mark.com,7688,Wholesalers,Wholesalers: Food and Grocery,"South San Francisco, CA",395 Oyster Point Blvd.,South San Francisco,CA,94080,650-589-9445,Thomas B. Perkins,"President, Chief Executive Officer & Director","395 Oyster Point Blvd., South San Francisco, CA 94080",CORE,Core-Mark Holding,14529,1497,54
2017,298,Corning,http://www.corning.com,40700,Industrials,"Electronics, Electrical Equipment","Corning, NY",1 Riverfront Plaza,Corning,NY,14831,607-974-9000,Wendell P. Weeks,"Chairman, President & Chief Executive Officer","1 Riverfront Plaza, Corning, NY 14831",GLW,Corning Incorporated,9390,3695,27899
2015,297,Corning,http://www.corning.com,40700,Industrials,"Electronics, Electrical Equipment","Corning, NY",1 Riverfront Plaza,Corning,NY,14831,607-974-9000,Wendell P. Weeks,"Chairman, President & Chief Executive Officer","1 Riverfront Plaza, Corning, NY 14831",GLW,Corning,9390,27899,3695
2017,16,Costco,http://www.costco.com,172000,Retailing,General Merchandisers,"Issaquah, WA",999 Lake Dr.,Issaquah,WA,98027,425-313-8100,W. Craig Jelinek,"President, Chief Executive Officer & Director","999 Lake Dr., Issaquah, WA 98027",COST,Costco Wholesale Corporation,118719,2350,33163
2015,18,Costco,http://www.costco.com,172000,Retailing,General Merchandisers,"Issaquah, WA",999 Lake Dr.,Issaquah,WA,98027,425-313-8100,W. Craig Jelinek,"President, Chief Executive Officer & Director","999 Lake Dr., Issaquah, WA 98027",COST,Costco,118719,33163,2350
2017,333,Crown Holdings,http://www.crowncork.com,23992,Materials,"Packaging, Containers","Philadelphia, PA",1 Crown Way,Philadelphia,PA,19154,215-698-5100,Timothy J. Donahue,"President, Chief Executive Officer & Director","1 Crown Way, Philadelphia, PA 19154",CCK,"Crown Holdings, Inc.",8284,496,9599
2015,318,Crown Holdings,http://www.crowncork.com,23992,Materials,"Packaging, Containers","Philadelphia, PA",1 Crown Way,Philadelphia,PA,19154,215-698-5100,Timothy J. Donahue,"President, Chief Executive Officer & Director","1 Crown Way, Philadelphia, PA 19154",CCK,Crown Holdings,8284,9599,496
2017,306,CST Brands,http://www.cstbrands.com,12380,Retailing,Specialty Retailers: Other,"San Antonio, TX",19500 Bulverde Rd.,San Antonio,TX,78259,210-692-5000,Kimberly S. Lubel,"Chairman, President & Chief Executive Officer","19500 Bulverde Rd., San Antonio, TX 78259",CST,"CST Brands, Inc.",9061,324,4360
2015,277,CST Brands,http://www.cstbrands.com,12380,Retailing,Specialty Retailers: Other,"San Antonio, TX",19500 Bulverde Rd.,San Antonio,TX,78259,210-692-5000,Kimberly S. Lubel,"Chairman, President & Chief Executive Officer","19500 Bulverde Rd., San Antonio, TX 78259",CST,CST Brands,11106,4360,324
2017,257,CSX,http://www.csx.com,26628,Transportation,Railroads,"Jacksonville, FL",500 Water St.,Jacksonville,FL,32202,904-359-3200,E. Hunter Harrison,"President, Chief Executive Officer & Director","500 Water St., Jacksonville, FL 32202",CSX,CSX Corporation,11069,1714,35414
2015,240,CSX,http://www.csx.com,26628,Transportation,Railroads,"Jacksonville, FL",500 Water St.,Jacksonville,FL,32202,904-359-3200,E. Hunter Harrison,"President, Chief Executive Officer & Director","500 Water St., Jacksonville, FL 32202",CSX,CSX,11069,35414,1714
2017,159,Cummins,http://www.cummins.com,55400,Industrials,Industrial Machinery,"Columbus, IN",500 Jackson St.,Columbus,IN,47201,812-377-5000,N. Thomas Linebarger,Chairman & Chief Executive Officer,"500 Jackson St., Columbus, IN 47201",CMI,Cummins Inc.,17509,1394,15011
2015,154,Cummins,http://www.cummins.com,55400,Industrials,Industrial Machinery,"Columbus, IN",500 Jackson St.,Columbus,IN,47201,812-377-5000,N. Thomas Linebarger,Chairman & Chief Executive Officer,"500 Jackson St., Columbus, IN 47201",CMI,Cummins,17509,15011,1394
2017,7,CVS Health,http://www.cvshealth.com,204000,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, RI",1 CVS Dr.,Woonsocket,RI,2895,401-765-1500,Larry J. Merlo,"President, Chief Executive Officer & Director","1 CVS Dr., Woonsocket, RI 02895",CVS,CVS Health Corporation,177526,5317,94462
2015,10,CVS Health,http://www.cvshealth.com,204000,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, RI",1 CVS Dr.,Woonsocket,RI,2895,401-765-1500,Larry J. Merlo,"President, Chief Executive Officer & Director","1 CVS Dr., Woonsocket, RI 02895",CVS,CVS Health,177526,94462,5317
2017,232,D.R. Horton,http://www.drhorton.com,6976,Engineering & Construction,Homebuilders,"Fort Worth, TX",301 Commerce St.,Fort Worth,TX,76102,817-390-8200,David V. Auld,"President, Chief Executive Officer & Director","301 Commerce St., Fort Worth, TX 76102",DHI,"D.R. Horton, Inc.",12157,886.3,11559
2015,354,D.R. Horton,http://www.drhorton.com,6976,Engineering & Construction,Homebuilders,"Fort Worth, TX",301 Commerce St.,Fort Worth,TX,76102,817-390-8200,David V. Auld,"President, Chief Executive Officer & Director","301 Commerce St., Fort Worth, TX 76102",DHI,D.R. Horton,12157,11559,886
2017,447,Dana,http://www.dana.com,24900,Motor Vehicles & Parts,Motor Vehicles and Parts,"Maumee, OH",3939 Technology Dr.,Maumee,OH,43537,419-887-3000,James K. Kamsickas,"President, Chief Executive Officer & Director","3939 Technology Dr., Maumee, OH 43537",DAN,Dana Incorporated,5826,640,4860
2015,410,Dana Holding,http://www.dana.com,24900,Motor Vehicles & Parts,Motor Vehicles and Parts,"Maumee, OH",3939 Technology Dr.,Maumee,OH,43537,419-887-3000,James K. Kamsickas,"President, Chief Executive Officer & Director","3939 Technology Dr., Maumee, OH 43537",DAN,Dana Holding,5826,4860,640
2017,144,Danaher,http://www.danaher.com,62000,Technology,"Scientific, Photographic and Control Equipment","Washington, DC",2200 Pennsylvania Ave. N.W.,Washington,DC,20037,202-828-0850,Thomas P. Joyce Jr.,"President, Chief Executive Officer & Director","2200 Pennsylvania Ave. N.W., Washington, DC 20037",DHR,Danaher Corporation,19912,2553.7,45295
2015,147,Danaher,http://www.danaher.com,62000,Technology,"Scientific, Photographic and Control Equipment","Washington, DC",2200 Pennsylvania Ave. N.W.,Washington,DC,20037,202-828-0850,Thomas P. Joyce Jr.,"President, Chief Executive Officer & Director","2200 Pennsylvania Ave. N.W., Washington, DC 20037",DHR,Danaher,16882,45295,2554
2017,385,Darden Restaurants,http://www.darden.com,150942,"Hotels, Restaurants & Leisure",Food Services,"Orlando, FL",1000 Darden Center Dr.,Orlando,FL,32837,407-245-4000,Eugene I. Lee Jr.,"President, Chief Executive Officer & Director","1000 Darden Center Dr., Orlando, FL 32837",DRI,"Darden Restaurants, Inc.",6934,375,4583
2015,325,Darden Restaurants,http://www.darden.com,150942,"Hotels, Restaurants & Leisure",Food Services,"Orlando, FL",1000 Darden Center Dr.,Orlando,FL,32837,407-245-4000,Eugene I. Lee Jr.,"President, Chief Executive Officer & Director","1000 Darden Center Dr., Orlando, FL 32837",DRI,Darden Restaurants,6934,4583,375
2017,181,DaVita,http://www.davita.com,70300,Health Care,Health Care: Medical Facilities,"Denver, CO",2000 16th St.,Denver,CO,80202,303-405-2100,Kent J. Thiry,Co-Chairman & Chief Executive Officer,"2000 16th St., Denver, CO 80202",DVA,DaVita Inc.,15197,879.9,18741
2015,231,DaVita,http://www.davita.com,70300,Health Care,Health Care: Medical Facilities,"Denver, CO",2000 16th St.,Denver,CO,80202,303-405-2100,Kent J. Thiry,Co-Chairman & Chief Executive Officer,"2000 16th St., Denver, CO 80202",DVA,DaVita,14745,18741,880
2017,351,Dean Foods,http://www.deanfoods.com,17000,"Food, Beverages & Tobacco",Food Consumer Products,"Dallas, TX",2711 N. Haskell Ave.,Dallas,TX,75204,214-303-3400,Ralph P. Scozzafava,Chief Executive Officer & Director,"2711 N. Haskell Ave., Dallas, TX 75204",DF,Dean Foods Company,7710,119.9,2606
2015,306,Dean Foods,http://www.deanfoods.com,17000,"Food, Beverages & Tobacco",Food Consumer Products,"Dallas, TX",2711 N. Haskell Ave.,Dallas,TX,75204,214-303-3400,Ralph P. Scozzafava,Chief Executive Officer & Director,"2711 N. Haskell Ave., Dallas, TX 75204",DF,Dean Foods,7710,2606,120
2017,105,Deere,http://www.johndeere.com,56767,Industrials,Construction and Farm Machinery,"Moline, IL",1 John Deere Place,Moline,IL,61265,309-765-8000,Samuel R. Allen,Chairman & Chief Executive Officer,"1 John Deere Place, Moline, IL 61265",DE,Deere & Company,26644,1523.9,57981
2015,86,Deere,http://www.johndeere.com,56767,Industrials,Construction and Farm Machinery,"Moline, IL",1 John Deere Place,Moline,IL,61265,309-765-8000,Samuel R. Allen,Chairman & Chief Executive Officer,"1 John Deere Place, Moline, IL 61265",DE,Deere,26644,57981,1524
2017,480,Delek US Holdings,http://www.delekus.com,1326,Energy,Petroleum Refining,"Brentwood, TN",7102 Commerce Way,Brentwood,TN,37027,615-771-6701,Ezra Uzi Yemin,"Chairman, President & Chief Executive Officer","7102 Commerce Way, Brentwood, TN 37027",DK,"Delek US Holdings, Inc.",5414,-153.7,2985
2015,345,Delek US Holdings,http://www.delekus.com,1326,Energy,Petroleum Refining,"Brentwood, TN",7102 Commerce Way,Brentwood,TN,37027,615-771-6701,Ezra Uzi Yemin,"Chairman, President & Chief Executive Officer","7102 Commerce Way, Brentwood, TN 37027",DK,Delek US Holdings,4198,2985,-154
2017,41,Dell Technologies,http://www.delltechnologies.com,138000,Technology,"Computers, Office Equipment","Round Rock, TX",1 Dell Way,Round Rock,TX,78682,800-289-3355,Michael S. Dell,Chairman & Chief Executive Officer,"1 Dell Way, Round Rock, TX 78682",LOW,Dell Technologies Inc.,64806,-1672,118206
2017,71,Delta Air Lines,http://www.delta.com,83756,Transportation,Airlines,"Atlanta, GA",1030 Delta Blvd.,Atlanta,GA,30354,404-715-2600,Edward H. Bastian,Chief Executive Officer & Director,"1030 Delta Blvd., Atlanta, GA 30354",DAL,"Delta Air Lines, Inc.",39639,4373,51261
2015,73,Delta Air Lines,http://www.delta.com,83756,Transportation,Airlines,"Atlanta, GA",1030 Delta Blvd.,Atlanta,GA,30354,404-715-2600,Edward H. Bastian,Chief Executive Officer & Director,"1030 Delta Blvd., Atlanta, GA 30354",DAL,Delta Air Lines,39639,51261,4373
2017,231,Devon Energy,http://www.devonenergy.com,3545,Energy,"Mining, Crude-Oil Production","Oklahoma City, OK",333 W. Sheridan Ave.,Oklahoma City,OK,73102,405-235-3611,David A. Hager,"President, Chief Executive Officer & Director","333 W. Sheridan Ave., Oklahoma City, OK 73102",DVN,Devon Energy Corporation,12197,-3302,25913
2015,152,Devon Energy,http://www.devonenergy.com,3545,Energy,"Mining, Crude-Oil Production","Oklahoma City, OK",333 W. Sheridan Ave.,Oklahoma City,OK,73102,405-235-3611,David A. Hager,"President, Chief Executive Officer & Director","333 W. Sheridan Ave., Oklahoma City, OK 73102",DVN,Devon Energy,12197,25913,-3302
2017,340,Dick's Sporting Goods,http://www.dicks.com,27550,Retailing,Specialty Retailers: Other,"Coraopolis, PA",345 Court St.,Coraopolis,PA,15108,724-273-3400,Edward W. Stack,Chairman & Chief Executive Officer,"345 Court St., Coraopolis, PA 15108",DKS,"Dick's Sporting Goods, Inc.",7922,287.4,4058
2017,417,Dillard's,http://www.dillards.com,30800,Retailing,General Merchandisers,"Little Rock, AR",1600 Cantrell Rd.,Little Rock,AR,72201,501-376-5200,William T. Dillard II,Chairman & Chief Executive Officer,"1600 Cantrell Rd., Little Rock, AR 72201",DDS,"Dillard's, Inc.",6418,169.2,3888
2017,277,Discover Financial Services,http://www.discover.com,15549,Financials,Commercial Banks,"Riverwoods, IL",2500 Lake Cook Rd.,Riverwoods,IL,60015,224-405-0900,David W. Nelms,Chairman & Chief Executive Officer,"2500 Lake Cook Rd., Riverwoods, IL 60015",DFS,Discover Financial Services,10497,2393,92308
2017,412,Discovery Communications,http://www.discoverycommunications.com,7000,Media,Entertainment,"Silver Spring, MD",1 Discovery Place,Silver Spring,MD,20910,240-662-2000,David M. Zaslav,"President, Chief Executive Officer & Director","1 Discovery Place, Silver Spring, MD 20910",DISCA,"Discovery Communications, Inc.",6497,1194,15758
2015,430,Discovery Communications,http://www.discoverycommunications.com,7000,Media,Entertainment,"Silver Spring, MD",1 Discovery Place,Silver Spring,MD,20910,240-662-2000,David M. Zaslav,"President, Chief Executive Officer & Director","1 Discovery Place, Silver Spring, MD 20910",DISCA,Discovery Communications,6497,15758,1194
2017,186,DISH Network,http://www.dish.com,16000,Telecommunications,Telecommunications,"Englewood, CO",9601 S. Meridian Blvd.,Englewood,CO,80112,303-723-1000,Charles W. Ergen,Chairman & Chief Executive Officer,"9601 S. Meridian Blvd., Englewood, CO 80112",DISH,DISH Network Corporation,15095,1449.9,28092
2015,208,DISH Network,http://www.dish.com,16000,Telecommunications,Telecommunications,"Englewood, CO",9601 S. Meridian Blvd.,Englewood,CO,80112,303-723-1000,Charles W. Ergen,Chairman & Chief Executive Officer,"9601 S. Meridian Blvd., Englewood, CO 80112",DISH,DISH Network,15095,28092,1450
2017,52,Disney,http://www.disney.com,195000,Media,Entertainment,"Burbank, CA",500 S. Buena Vista St.,Burbank,CA,91521,818-560-1000,Robert A. Iger,Chairman & Chief Executive Officer,"500 S. Buena Vista St., Burbank, CA 91521",DIS,The Walt Disney Company,55632,9391,92033
2015,57,Disney,http://www.disney.com,195000,Media,Entertainment,"Burbank, CA",500 S. Buena Vista St.,Burbank,CA,91521,818-560-1000,Robert A. Iger,Chairman & Chief Executive Officer,"500 S. Buena Vista St., Burbank, CA 91521",DIS,Disney,55632,92033,9391
2017,128,Dollar General,http://www.dollargeneral.com,121000,Retailing,Specialty Retailers: Other,"Goodlettsville, TN",100 Mission Ridge,Goodlettsville,TN,37072,615-855-4000,Todd J. Vasos,Chief Executive Officer & Director,"100 Mission Ridge, Goodlettsville, TN 37072",DG,Dollar General Corporation,21987,1251.1,11672
2015,159,Dollar General,http://www.dollargeneral.com,121000,Retailing,Specialty Retailers: Other,"Goodlettsville, TN",100 Mission Ridge,Goodlettsville,TN,37072,615-855-4000,Todd J. Vasos,Chief Executive Officer & Director,"100 Mission Ridge, Goodlettsville, TN 37072",DG,Dollar General,21987,11672,1251
2017,136,Dollar Tree,http://www.dollartree.com,116050,Retailing,Specialty Retailers: Other,"Chesapeake, VA",500 Volvo Pkwy.,Chesapeake,VA,23320,757-321-5000,Bob Sasser,Chief Executive Officer & Director,"500 Volvo Pkwy., Chesapeake, VA 23320",DLTR,"Dollar Tree, Inc.",20719,896.2,15702
2015,330,Dollar Tree,http://www.dollartree.com,116050,Retailing,Specialty Retailers: Other,"Chesapeake, VA",500 Volvo Pkwy.,Chesapeake,VA,23320,757-321-5000,Bob Sasser,Chief Executive Officer & Director,"500 Volvo Pkwy., Chesapeake, VA 23320",DLTR,Dollar Tree,20719,15702,896
2017,238,Dominion Energy,http://www.dominionenergy.com,16200,Energy,Utilities: Gas and Electric,"Richmond, VA",120 Tredegar St.,Richmond,VA,23219,804-819-2000,Thomas F. Farrell II,"Chairman, President & Chief Executive Officer","120 Tredegar St., Richmond, VA 23219",D,"Dominion Energy, Inc.",11737,2123,71610
2015,243,Dominion Resources,http://www.dominionenergy.com,16200,Energy,Utilities: Gas and Electric,"Richmond, VA",120 Tredegar St.,Richmond,VA,23219,804-819-2000,Thomas F. Farrell II,"Chairman, President & Chief Executive Officer","120 Tredegar St., Richmond, VA 23219",D,Dominion Resources,11737,71610,2123
2017,392,Dover,http://www.dovercorporation.com,29000,Industrials,Industrial Machinery,"Downers Grove, IL",3005 Highland Pkwy.,Downers Grove,IL,60515,630-541-1540,Robert A. Livingston,"President, Chief Executive Officer & Director","3005 Highland Pkwy., Downers Grove, IL 60515",DOV,Dover Corporation,6794,508.9,10116
2015,346,Dover,http://www.dovercorporation.com,29000,Industrials,Industrial Machinery,"Downers Grove, IL",3005 Highland Pkwy.,Downers Grove,IL,60515,630-541-1540,Robert A. Livingston,"President, Chief Executive Officer & Director","3005 Highland Pkwy., Downers Grove, IL 60515",DOV,Dover,6794,10116,509
2017,62,Dow Chemical,http://www.dow.com,56000,Chemicals,Chemicals,"Midland, MI",2030 Dow Center,Midland,MI,48674,989-636-1000,Andrew N. Liveris,Chairman & Chief Executive Officer,"2030 Dow Center, Midland, MI 48674",DOW,The Dow Chemical Company,48158,4318,79511
2015,48,Dow Chemical,http://www.dow.com,56000,Chemicals,Chemicals,"Midland, MI",2030 Dow Center,Midland,MI,48674,989-636-1000,Andrew N. Liveris,Chairman & Chief Executive Officer,"2030 Dow Center, Midland, MI 48674",DOW,Dow Chemical,48158,79511,4318
2017,416,Dr Pepper Snapple Group,http://www.drpeppersnapplegroup.com,20000,"Food, Beverages & Tobacco",Beverages,"Plano, TX",5301 Legacy Dr.,Plano,TX,75024,972-673-7000,Larry D. Young,"President, Chief Executive Officer & Director","5301 Legacy Dr., Plano, TX 75024",DPS,"Dr Pepper Snapple Group, Inc.",6440,847,9791
2015,437,Dr Pepper Snapple Group,http://www.drpeppersnapplegroup.com,20000,"Food, Beverages & Tobacco",Beverages,"Plano, TX",5301 Legacy Dr.,Plano,TX,75024,972-673-7000,Larry D. Young,"President, Chief Executive Officer & Director","5301 Legacy Dr., Plano, TX 75024",DPS,Dr Pepper Snapple Group,6440,9791,847
2017,272,DTE Energy,http://www.dteenergy.com,10000,Energy,Utilities: Gas and Electric,"Detroit, MI",1 Energy Plaza,Detroit,MI,48226,313-235-4000,Gerard M. Anderson,Chairman & Chief Executive Officer,"1 Energy Plaza, Detroit, MI 48226",DTE,DTE Energy Company,10630,868,32041
2015,246,DTE Energy,http://www.dteenergy.com,10000,Energy,Utilities: Gas and Electric,"Detroit, MI",1 Energy Plaza,Detroit,MI,48226,313-235-4000,Gerard M. Anderson,Chairman & Chief Executive Officer,"1 Energy Plaza, Detroit, MI 48226",DTE,DTE Energy,10630,32041,868
2017,121,Duke Energy,http://www.duke-energy.com,28798,Energy,Utilities: Gas and Electric,"Charlotte, NC",550 S. Tryon St.,Charlotte,NC,28202,704-382-3853,Lynn J. Good,"Chairman, President & Chief Executive Officer","550 S. Tryon St., Charlotte, NC 28202",DUK,Duke Energy Corporation,23369,2152,132761
2015,116,Duke Energy,http://www.duke-energy.com,28798,Energy,Utilities: Gas and Electric,"Charlotte, NC",550 S. Tryon St.,Charlotte,NC,28202,704-382-3853,Lynn J. Good,"Chairman, President & Chief Executive Officer","550 S. Tryon St., Charlotte, NC 28202",DUK,Duke Energy,22743,132761,2152
2017,113,DuPont,http://www.dupont.com,46000,Chemicals,Chemicals,"Wilmington, DE",974 Centre Rd.,Wilmington,DE,19805,302-774-1000,Edward D. Breen,Chairman & Chief Executive Officer,"974 Centre Rd., Wilmington, DE 19805",DD,E.I. du Pont de Nemours and Company,24594,2513,39964
2015,87,DuPont,http://www.dupont.com,46000,Chemicals,Chemicals,"Wilmington, DE",974 Centre Rd.,Wilmington,DE,19805,302-774-1000,Edward D. Breen,Chairman & Chief Executive Officer,"974 Centre Rd., Wilmington, DE 19805",DD,DuPont,24594,39964,2513
2017,309,Eastman Chemical,http://www.eastman.com,14000,Chemicals,Chemicals,"Kingsport, TN",200 S. Wilcox Dr.,Kingsport,TN,37660,423-229-2000,Mark J. Costa,Chairman & Chief Executive Officer,"200 S. Wilcox Dr., Kingsport, TN 37660",EMN,Eastman Chemical Company,9008,854,15457
2015,305,Eastman Chemical,http://www.eastman.com,14000,Chemicals,Chemicals,"Kingsport, TN",200 S. Wilcox Dr.,Kingsport,TN,37660,423-229-2000,Mark J. Costa,Chairman & Chief Executive Officer,"200 S. Wilcox Dr., Kingsport, TN 37660",EMN,Eastman Chemical,9008,15457,854
2017,310,eBay,http://www.ebay.com,12600,Technology,Internet Services and Retailing,"San Jose, CA",2025 Hamilton Ave.,San Jose,CA,95125,408-376-7400,Devin N. Wenig,"President, Chief Executive Officer & Director","2025 Hamilton Ave., San Jose, CA 95125",EBAY,eBay Inc.,8979,7266,23847
2015,172,eBay,http://www.ebay.com,12600,Technology,Internet Services and Retailing,"San Jose, CA",2025 Hamilton Ave.,San Jose,CA,95125,408-376-7400,Devin N. Wenig,"President, Chief Executive Officer & Director","2025 Hamilton Ave., San Jose, CA 95125",EBAY,eBay,8979,23847,7266
2017,211,Ecolab,http://www.ecolab.com,47565,Chemicals,Chemicals,"St. Paul, MN",1 Ecolab Place,St. Paul,MN,55102,800-232-6522,Douglas M. Baker Jr.,Chairman & Chief Executive Officer,"1 Ecolab Place, St. Paul, MN 55102",ECL,Ecolab Inc.,13153,1229.6,18330
2015,213,Ecolab,http://www.ecolab.com,47565,Chemicals,Chemicals,"St. Paul, MN",1 Ecolab Place,St. Paul,MN,55102,800-232-6522,Douglas M. Baker Jr.,Chairman & Chief Executive Officer,"1 Ecolab Place, St. Paul, MN 55102",ECL,Ecolab,13153,18330,1230
2017,235,Edison International,http://www.edisoninvestor.com,12390,Energy,Utilities: Gas and Electric,"Rosemead, CA",2244 Walnut Grove Ave.,Rosemead,CA,91770,626-302-2222,Pedro J. Pizarro,"President, Chief Executive Officer & Director","2244 Walnut Grove Ave., Rosemead, CA 91770",EIX,Edison International,11869,1311,51319
2015,226,Edison International,http://www.edisoninvestor.com,12390,Energy,Utilities: Gas and Electric,"Rosemead, CA",2244 Walnut Grove Ave.,Rosemead,CA,91770,626-302-2222,Pedro J. Pizarro,"President, Chief Executive Officer & Director","2244 Walnut Grove Ave., Rosemead, CA 91770",EIX,Edison International,11869,51319,1434
2017,132,Eli Lilly,http://www.lilly.com,41975,Health Care,Pharmaceuticals,"Indianapolis, IN",Lilly Corporate Center,Indianapolis,IN,46285,317-276-2000,David A. Ricks,"President, Chief Executive Officer & Director","Lilly Corporate Center, Indianapolis, IN 46285",LLY,Eli Lilly and Company,21222,2737.6,38806
2015,151,Eli Lilly,http://www.lilly.com,41975,Health Care,Pharmaceuticals,"Indianapolis, IN",Lilly Corporate Center,Indianapolis,IN,46285,317-276-2000,David A. Ricks,"President, Chief Executive Officer & Director","Lilly Corporate Center, Indianapolis, IN 46285",LLY,Eli Lilly,21222,38806,2738
2017,360,EMCOR Group,http://www.emcorgroup.com,31000,Engineering & Construction,"Engineering, Construction","Norwalk, CT",301 Merritt Seven,Norwalk,CT,6851,203-849-7800,Anthony J. Guzzi,"President, Chief Executive Officer & Director","301 Merritt Seven, Norwalk, CT 06851",EME,"EMCOR Group, Inc.",7552,181.9,3894
2015,421,EMCOR Group,http://www.emcorgroup.com,31000,Engineering & Construction,"Engineering, Construction","Norwalk, CT",301 Merritt Seven,Norwalk,CT,6851,203-849-7800,Anthony J. Guzzi,"President, Chief Executive Officer & Director","301 Merritt Seven, Norwalk, CT 06851",EME,EMCOR Group,7552,3894,182
2017,139,Emerson Electric,http://www.emerson.com,103500,Industrials,"Electronics, Electrical Equipment","St. Louis, MO",8000 W. Florissant Ave.,St. Louis,MO,63136,314-553-2000,David N. Farr,Chairman & Chief Executive Officer,"8000 W. Florissant Ave., St. Louis, MO 63136",EMR,Emerson Electric Co.,20268,1635,21743
2015,120,Emerson Electric,http://www.emerson.com,103500,Industrials,"Electronics, Electrical Equipment","St. Louis, MO",8000 W. Florissant Ave.,St. Louis,MO,63136,314-553-2000,David N. Farr,Chairman & Chief Executive Officer,"8000 W. Florissant Ave., St. Louis, MO 63136",EMR,Emerson Electric,14522,21743,1635
2017,79,Energy Transfer Equity,http://www.energytransfer.com,30992,Energy,Pipelines,"Dallas, TX",8111 Westchester Dr.,Dallas,TX,75225,214-981-0700,John W. McReynolds,"President, Chief Executive Officer & Director","8111 Westchester Dr., Dallas, TX 75225",ETE,"Energy Transfer Equity, L.P.",37504,995,79011
2015,53,Energy Transfer Equity,http://www.energytransfer.com,30992,Energy,Pipelines,"Dallas, TX",8111 Westchester Dr.,Dallas,TX,75225,214-981-0700,John W. McReynolds,"President, Chief Executive Officer & Director","8111 Westchester Dr., Dallas, TX 75225",ETE,Energy Transfer Equity,37504,79011,995
2017,263,Entergy,http://www.entergy.com,13513,Energy,Utilities: Gas and Electric,"New Orleans, LA",639 Loyola Ave.,New Orleans,LA,70113,504-576-4000,Leo P. Denault,Chairman & Chief Executive Officer,"639 Loyola Ave., New Orleans, LA 70113",ETR,Entergy Corporation,10846,-583.6,45904
2015,241,Entergy,http://www.entergy.com,13513,Energy,Utilities: Gas and Electric,"New Orleans, LA",639 Loyola Ave.,New Orleans,LA,70113,504-576-4000,Leo P. Denault,Chairman & Chief Executive Officer,"639 Loyola Ave., New Orleans, LA 70113",ETR,Entergy,37504,79011,995
2017,122,Enterprise Products Partners,http://www.enterpriseproducts.com,6800,Energy,Pipelines,"Houston, TX",1100 Louisiana St.,Houston,TX,77002,713-381-6500,A. James Teague,Chief Executive Officer & Director,"1100 Louisiana St., Houston, TX 77002",EPD,Enterprise Products Partners L.P.,23022,2513.1,52194
2015,59,Enterprise Products Partners,http://www.enterpriseproducts.com,6800,Energy,Pipelines,"Houston, TX",1100 Louisiana St.,Houston,TX,77002,713-381-6500,A. James Teague,Chief Executive Officer & Director,"1100 Louisiana St., Houston, TX 77002",EPD,Enterprise Products Partners,23022,52194,2513
2017,356,EOG Resources,http://www.eogresources.com,2650,Energy,"Mining, Crude-Oil Production","Houston, TX",1111 Bagby St.,Houston,TX,77002,713-651-7000,William R. Thomas,Chairman & Chief Executive Officer,"1111 Bagby St., Houston, TX 77002",EOG,"EOG Resources, Inc.",7651,-1096.7,29459
2015,167,EOG Resources,http://www.eogresources.com,2650,Energy,"Mining, Crude-Oil Production","Houston, TX",1111 Bagby St.,Houston,TX,77002,713-651-7000,William R. Thomas,Chairman & Chief Executive Officer,"1111 Bagby St., Houston, TX 77002",EOG,EOG Resources,7651,29459,-1097
2017,382,Erie Insurance Group,http://www.erieinsurance.com,4988,Financials,Insurance: Property and Casualty (Mutual),"Erie, PA",100 Erie Insurance Place,Erie,PA,16530,814-870-2000,Timothy G. NeCastro,"President, Chief Executive Officer & Director","100 Erie Insurance Place, Erie, PA 16530",LDOS,Erie Insurance Group,7016,741.9,18417
2015,436,Erie Insurance Group,http://www.erieinsurance.com,4988,Financials,Insurance: Property and Casualty (Mutual),"Erie, PA",100 Erie Insurance Place,Erie,PA,16530,814-870-2000,Timothy G. NeCastro,"President, Chief Executive Officer & Director","100 Erie Insurance Place, Erie, PA 16530",LDOS,Erie Insurance Group,12574,8170,1158
2017,487,Essendant,http://www.essendant.com,6600,Wholesalers,Wholesalers: Electronics and Office Equipment,"Deerfield, IL",1 Parkway N. Blvd.,Deerfield,IL,60015,847-627-7000,Robert B. Aiken Jr.,"President, Chief Executive Officer & Director","1 Parkway N. Blvd., Deerfield, IL 60015",ESND,Essendant Inc.,5369,63.9,2164
2015,489,Essendant,http://www.essendant.com,6600,Wholesalers,Wholesalers: Electronics and Office Equipment,"Deerfield, IL",1 Parkway N. Blvd.,Deerfield,IL,60015,847-627-7000,Robert B. Aiken Jr.,"President, Chief Executive Officer & Director","1 Parkway N. Blvd., Deerfield, IL 60015",ESND,Essendant,5369,2164,64
